iter	Passed	Remaining
406	5076	1159
407	5086	1146
408	5095	1133
409	5109	1121
410	5119	1108
411	5129	1095
412	5138	1082
413	5150	1069
414	5159	1056
415	5168	1043
416	5178	1030
417	5187	1017
418	5198	1004
419	5208	992
420	5219	979
421	5230	966
422	5241	954
423	5252	941
424	5262	928
425	5273	916
426	5284	903
427	5295	890
428	5304	877
429	5317	865
430	5328	853
431	5342	840
432	5354	828
433	5368	816
434	5380	803
435	5394	791
436	5407	779
437	5421	767
438	5434	755
439	5448	742
440	5460	730
441	5473	718
442	5488	706
443	5501	693
444	5512	681
445	5522	668
446	5535	656
447	5546	643
448	5556	631
449	5567	618
450	5579	606
451	5592	593
452	5603	581
453	5615	568
454	5627	556
455	5638	544
456	5649	531
457	5660	519
458	5677	507
459	5690	494
460	5702	482
461	5714	470
462	5724	457
463	5736	445
464	5746	432
465	5757	420
466	5769	407
467	5780	395
468	5791	382
469	5803	370
470	5814	358
471	5823	345
472	5833	333
473	5844	320
474	5854	308
475	5864	295
476	5873	283
477	5883	270
478	5893	258
479	5905	246
480	5916	233
481	5928	221
482	5939	209
483	5949	196
484	5961	184
485	5971	172
486	5984	159
487	5997	147
488	6009	135
489	6021	122
490	6032	110
491	6042	98
492	6054	85
493	6065	73
494	6075	61
495	6085	49
496	6096	36
497	6108	24
498	6119	12
499	6131	0
